OBJECTID_1,PIN,ZONE_DISTR,ZONE_TYPE_,DATE,PHOTOGRAPH,VACANT_ABA,GRADE_RUBR,STRUCTURE_,STRUCTURAL,BUILDING_E,BRICK,COMMERCIAL,TWO_STORIE,STONE,PUBLIC_GOV,RESIDENTIA,BARS_ON_WI,BASEMENT_W,SIDING,MULTI_FAMI,ATTACHMENT,SINGLE_FAM,CONCRETE_S,OBSTRUCTED,WOOD,REVIEWED,NEIGHBORHO,COUNCIL_DI,CENSUS_TRA,LANDBANK,HHF,ADDRESS,RESIDENT_1,PARKING_LO,DUMPING_ON
514,45-05-32-301-015.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,,Yes,,,Yes,,Miller,First District,Census Tract 101,,,6524 HEMLOCK AVENUE,Yes,,
515,45-08-14-305-074.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2672-74 ALABAMA STREET,,No Parking Lot Present,
516,45-08-14-307-027.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2613-15 MAINE STREET,,No Parking Lot Present,
517,45-08-14-303-033.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2574-76 ILLINOIS PLACE,,No Parking Lot Present,
518,45-08-12-179-001.000-004,R2,RESIDENTIAL,2013/07/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1204 OKLAHOMA STREET,,,
519,45-08-11-326-002.000-004,M1-2,MANUFACTURING,2013/09/24,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 114,,,2301 EAST 15TH AVENUE,,Parking Lot Present,
520,45-08-12-300-001.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,3200-40 EAST 15TH AVENUE APPR,,No Parking Lot Present,
521,45-08-12-256-003.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,Yes,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,4029 EAST 14TH PLACE,Yes,,
522,45-08-12-279-004.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Fair,Structure Present,,,Yes,,Yes,,,Yes,,,Yes,,Yes,Yes,,,,,Aetna,First District,Census Tract 115,,,4433 EAST 13TH PLACE,Yes,,
523,45-05-33-479-018.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,9325-29 OAK RIDGE DRIVE,,No Parking Lot Present,
524,45-05-31-459-028.000-004,R2,RESIDENTIAL,2014/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,City of Gary,,118 HANCOCK STREET,,No Parking Lot Present,
525,45-05-33-276-012.000-004,R1,RESIDENTIAL,2014/07/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,9319-23 INDIAN BOUNDARY,,No Parking Lot Present,
526,45-08-12-151-012.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,,Yes,Yes,,Yes,,Aetna,First District,Census Tract 115,,,1260-66 DAKOTA STREET,Yes,,
527,45-08-12-277-011.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Aetna,First District,Census Tract 115,,,4600 EAST 13TH PLACE,Yes,,
528,45-08-12-277-010.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,,,Yes,Yes,,Yes,,,,,,Aetna,First District,Census Tract 115,,,1340 CASS STREET,,,
529,45-08-12-176-039.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1250 OKLAHOMA STREET,Yes,,
530,45-09-07-152-003.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5007 EAST 13TH AVENUE,Yes,,
531,45-08-14-127-001.000-004,R2,RESIDENTIAL,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2001-21 EAST 22ND PLACE,,No Parking Lot Present,
532,45-08-12-277-001.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,,,,Yes,,,Yes,,Aetna,First District,Census Tract 115,,,1301 BENTON STREET,Yes,,
533,45-08-12-255-010.000-004,R2,RESIDENTIAL,2013/05/18,,Vacant/Abandoned Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,,,Yes,,Aetna,First District,Census Tract 115,,,4243 EAST 12TH PLACE,Yes,,
534,45-08-12-177-001.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,Aetna,First District,Census Tract 115,,,3501 OAKDALE DRIVE,Yes,,
535,45-08-12-176-032.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,,Aetna,First District,Census Tract 115,,,3712 EAST OAKDALE DRIVE,Yes,,
536,45-08-14-326-001.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fifth District,Census Tract 123,,,2400 EAST 25TH AVENUE,,No Parking Lot Present,
537,45-09-07-176-006.000-004,R2,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Poor,Structure Present,No,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5247 EAST 13TH AVENUE,Yes,,
538,45-09-07-176-005.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,5239 EAST 13TH AVENUE,Yes,,
539,45-09-06-403-019.000-004,B2-1,BUSINESS,2013/11/02,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,620 SOUTH LAKE STREET,,No Parking Lot Present,
540,45-05-33-228-026.000-004,R2,RESIDENTIAL,2014/07/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,1204-06 WAYNE STREET,,No Parking Lot Present,
541,45-09-07-104-021.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Fair,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1171 DEARBORN CIRCLE,Yes,,
542,45-09-07-130-040.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,1223 FLOYD STREET,Yes,,
543,45-08-12-202-048.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1232-34 NEW JERSEY STREET,Yes,,
544,45-08-12-202-041.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Aetna,First District,Census Tract 115,,,1148 NEW JERSEY STREET,Yes,,
545,45-09-07-104-041.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,Yes,,,,,,,,Yes,,Yes,,,Yes,,Aetna,First District,Census Tract 115,,,1152 DECATUR STREET,Yes,,
546,45-09-07-201-002.000-004,R3,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,Yes,,,,,,,,,,Aetna,First District,Census Tract 115,,,5608 EAST 10TH AVENUE,,,
547,45-09-06-379-015.000-004,R2,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,871 ELKHART STREET,,,
548,45-08-12-101-036.000-004,R2,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1128-34 IDAHO STREET,,,
549,45-08-12-101-006.000-004,M1-2,MANUFACTURING,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,City of Gary,,3224-26 EAST 12TH AVENUE,,,Yes
550,45-09-07-127-028.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,5314 EAST 11TH PLACE,Yes,,
551,45-09-07-131-006.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1047 GIBSON PLACE,Yes,,
552,45-08-12-102-001.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1001-05 IDAHO STREET,Yes,,
553,45-08-12-227-024.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,,,,,Aetna,First District,Census Tract 115,,,1047 EAST 11TH COURT,Yes,,
554,45-09-06-380-031.000-004,R2,RESIDENTIAL,2013/07/07,,Vacant/Abandoned Structure,Poor,Structure Present,No,,Yes,,Yes,,,Yes,,Yes,,,,Yes,,,,,Aetna,First District,Census Tract 102.01,,,858 FLOYD STREET,Yes,,
555,45-09-06-379-008.000-004,R2,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,837-39 ELKHART STREET,,,
556,45-09-06-378-020.000-004,R2,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,824 ELKHART STREET,,,
557,45-08-12-133-018.000-004,B3-1,BUSINESS,2013/05/04,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1036-11 AETNA STREET,,,
558,45-09-06-354-013.000-004,B3-1,BUSINESS,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,GUEA,,802 DEKALB STREET,,,
559,45-09-07-205-017.000-004,R3,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Dangerous,Structure Present,Significant Structural Damage,,,,,,,,,,,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,1020 HAMILTON PLACE,Yes,,
560,45-09-07-128-005.000-004,R2,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,Department of Redevelopment,,5237 EAST 11TH AVENUE,,,
561,45-08-12-202-015.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1165 ARIZONA STREET,Yes,,
562,45-08-14-307-011.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2555-57 MAINE STREET,,No Parking Lot Present,
563,45-09-07-101-015.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5110 EAST 10TH AVENUE,Yes,,
564,45-09-07-101-007.000-004,R2,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,5002 EAST 10TH AVENUE,,,
565,45-08-01-427-007.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Good,Structure Present,,,Yes,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,4507 EAST 6TH AVENUE,,,
566,45-09-05-179-008.000-004,B3-1,BUSINESS,2014/06/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,6919 EAST DUNES HIGHWAY,,No Parking Lot Present,
567,45-05-32-332-006.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,,Yes,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7100 ASH AVENUE,Yes,,
568,45-05-32-427-022.000-004,R1A,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,Yes,,,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7708 ASH STREET,Yes,,
569,45-09-04-129-003.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8709-11 EAST 1ST AVENUE,,No Parking Lot Present,
570,45-05-33-276-005.000-004,R1,RESIDENTIAL,2014/07/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,9225-29 INDIAN BOUNDARY,,No Parking Lot Present,
571,45-08-14-351-002.000-004,F1,FLOOD PLAN,2013/11/15,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1606-12 INDUSTRIAL BOULEVARD,,No Parking Lot Present,
572,45-08-14-305-016.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Department of Redevelopment,,2575-77 ILLINOIS STREET,,No Parking Lot Present,
573,45-08-14-305-054.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2596 ALABAMA STREET,,No Parking Lot Present,
574,45-08-14-304-036.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2558-60 ILLINOIS PLACE,,No Parking Lot Present,
575,45-08-12-180-009.000-004,R4,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,1202-04 AETNA STREET,Yes,,
576,45-09-06-303-008.000-004,R2,RESIDENTIAL,2013/05/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,City of Gary,,661 DEARBORN STREET,,,
577,45-08-11-301-002.000-004,M1-2,MANUFACTURING,2013/09/24,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Not Enclosed/Secure,Yes,Yes,,,,,,,,,,,Yes,,,,,Fourth District,Census Tract 114,,,1619 EAST 15TH AVENUE,,,
578,45-08-12-182-001.000-004,R2,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,3805 EAST 13TH AVENUE,,,
579,45-08-12-256-004.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,4037 EAST 14TH PLACE,Yes,,
580,45-08-11-326-003.000-004,M1-2,MANUFACTURING,2013/09/24,,Occupied Structure,Excellent,Structure Present,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,Yes,,,Fourth District,Census Tract 114,,,2201 EAST 15TH AVENUE APPR,,,
581,45-09-07-176-017.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,Yes,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1325 DEKALB STREET,Yes,,
582,45-08-12-278-005.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,,,,,Aetna,First District,Census Tract 115,,,4700 EAST 13TH PLACE,Yes,,
583,45-09-07-177-020.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5509 EAST 13TH PLACE,Yes,,
584,45-08-14-353-004.000-004,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,Parks Department,,1609-15 EAST 28TH PLACE APPR,,No Parking Lot Present,
585,45-08-14-305-085.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1832-34 RAILROAD STREET,,No Parking Lot Present,
586,45-05-32-326-005.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6900 HICKORY STREET,Yes,,
587,45-08-14-302-008.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1828-30 WEST 25TH PLACE,,No Parking Lot Present,
588,45-08-14-302-004.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1812-14 EAST 25TH PLACE,,No Parking Lot Present,
589,45-08-23-101-011.000-017,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,3100 MISSOURI,,No Parking Lot Present,
590,45-08-14-376-001.000-004,F1,FLOOD PLAN,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,2890 MISSOURI STREET APPR,,No Parking Lot Present,
591,45-08-14-228-019.000-004,R2,RESIDENTIAL,2013/07/08,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2933 CENTRAL AVENUE,Yes,,
592,45-08-13-308-008.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,3355 EAST 25TH AVENUE,,No Parking Lot Present,
593,45-08-13-327-004.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,2550 FRYE STREET,Yes,,
594,45-08-14-309-040.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2716-18 MISSOURI STREET,,No Parking Lot Present,
595,45-08-14-308-036.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1860-62 RAILROAD STREET,,No Parking Lot Present,
596,45-08-14-305-041.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2669 ILLINOIS STREET,,No Parking Lot Present,
597,45-08-14-309-009.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2677-79 MAINE STREET,,No Parking Lot Present,
598,45-08-14-304-011.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,,,2555-57 ILLINOIS PLACE,,No Parking Lot Present,
599,45-05-32-401-031.000-004,R1A,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7336 HEMLOCK AVENUE,Yes,,
600,45-08-12-255-017.000-004,R2,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,4401 EAST 12TH PLACE,,,Yes
601,45-08-12-180-014.000-004,R4,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Good,Structure Present,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,1240-42 AETNA STREET,Yes,,
602,45-09-06-301-021.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,,,,,,,,Miller,First District,Census Tract 102.01,,,5052 EAST 6TH AVENUE,,,
603,45-08-01-403-009.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,4233 EAST 5TH PLACE,Yes,,
604,45-09-07-251-017.000-004,R3,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,5825-31 EAST 13TH PLACE,,,
605,45-09-04-180-020.000-004,R1,RESIDENTIAL,2014/06/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,448-52 SPENCER STREET APPR,,No Parking Lot Present,
606,45-05-33-479-035.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,City of Gary,,9312-16 EAST 1ST AVENUE,,No Parking Lot Present,
607,45-09-06-258-003.000-004,R2,RESIDENTIAL,2013/12/06,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,429 GIBSON STREET,,No Parking Lot Present,
608,45-09-06-301-003.000-004,R2,RESIDENTIAL,2013/05/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,4910 EAST 6TH AVENUE,,,
609,45-09-06-260-011.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,420 SOUTH HANCOCK STREET,Yes,,
610,45-05-33-127-013.000-004,R2,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,8537 LAKE SHORE DRIVE,Yes,,
611,45-05-32-304-017.000-004,R1,RESIDENTIAL,2014/07/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,315 JASPER STREET,,No Parking Lot Present,
612,45-08-12-229-042.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,Yes,,,,,,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,1232 CLAY STREET,,,
613,45-09-07-202-016.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,Yes,,Yes,,,,,Aetna,First District,Census Tract 115,,,1208 GREENE STREET,Yes,,
614,45-08-12-227-035.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,,,,,Aetna,First District,Census Tract 115,,,1209 ALLEN STREET,Yes,,
615,45-05-33-278-012.000-004,R1,RESIDENTIAL,2014/07/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,600-04 WELLS PLACE,,No Parking Lot Present,
616,45-08-12-152-003.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Fair,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,,Yes,,,,,Aetna,First District,Census Tract 115,,,1217-21 DAKOTA STREET,Yes,,
617,45-08-12-180-010.000-004,R4,RESIDENTIAL,2013/05/04,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,Yes,Yes,,,,,,,,Aetna,First District,Census Tract 115,,,1208-10 AETNA STREET,Yes,,
618,45-09-07-128-030.000-004,R2,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,5320 EAST 13TH AVENUE,,,
619,45-09-07-203-016.000-004,R3,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1165 GREENE STREET,,,
620,45-08-12-176-005.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Dangerous,Structure Present,No,Building Not Enclosed/Secure,Yes,,,,,Yes,,,,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,3525 EAST 12TH AVENUE,Yes,,
621,45-08-12-227-027.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,4452 EAST 11TH AVENUE,Yes,,
622,45-08-12-202-008.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,Aetna,First District,Census Tract 115,,,1111 ARIZONA STREET,Yes,,
623,45-09-07-128-003.000-004,R2,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Dangerous,Structure Present,Significant Structural Damage,,,,,,,,,,,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,5221 EAST 11TH PLACE,Yes,,
